# kT [GeV]         GTMD (T-even  T-odd) at xi = [3.000000e-01]
1.000000e-04  4.005450e-01  -4.163845e-01  
2.030101e-02  4.004936e-01  -4.162603e-01  
4.050202e-02  4.002075e-01  -4.159559e-01  
6.070303e-02  3.997450e-01  -4.153328e-01  
8.090404e-02  3.992592e-01  -4.144551e-01  
1.011051e-01  3.984099e-01  -4.134838e-01  
1.213061e-01  3.974957e-01  -4.121936e-01  
1.415071e-01  3.964364e-01  -4.107361e-01  
1.617081e-01  3.951309e-01  -4.090707e-01  
1.819091e-01  3.937120e-01  -4.070584e-01  
2.021101e-01  3.921231e-01  -4.047301e-01  
2.223111e-01  3.903453e-01  -4.025202e-01  
2.425121e-01  3.885506e-01  -3.998755e-01  
2.627131e-01  3.864748e-01  -3.970744e-01  
2.829141e-01  3.842983e-01  -3.940640e-01  
3.031152e-01  3.824286e-01  -3.908180e-01  
3.233162e-01  3.793427e-01  -3.873472e-01  
3.435172e-01  3.767482e-01  -3.838540e-01  
3.637182e-01  3.740253e-01  -3.800408e-01  
3.839192e-01  3.710943e-01  -3.760712e-01  
4.041202e-01  3.680655e-01  -3.718686e-01  
4.243212e-01  3.648710e-01  -3.675888e-01  
4.445222e-01  3.615828e-01  -3.631149e-01  
4.647232e-01  3.583345e-01  -3.584158e-01  
4.849242e-01  3.546359e-01  -3.536936e-01  
5.051253e-01  3.510353e-01  -3.487432e-01  
5.253263e-01  3.473825e-01  -3.436414e-01  
5.455273e-01  3.434554e-01  -3.384579e-01  
5.657283e-01  3.395407e-01  -3.330844e-01  
5.859293e-01  3.353513e-01  -3.276614e-01  
6.061303e-01  3.313986e-01  -3.216926e-01  
6.263313e-01  3.272443e-01  -3.163423e-01  
6.465323e-01  3.229063e-01  -3.105963e-01  
6.667333e-01  3.186605e-01  -3.046865e-01  
6.869343e-01  3.142499e-01  -2.987762e-01  
7.071354e-01  3.097225e-01  -2.927530e-01  
7.273364e-01  3.052098e-01  -2.866733e-01  
7.475374e-01  3.006915e-01  -2.804499e-01  
7.677384e-01  2.960440e-01  -2.741652e-01  
7.879394e-01  2.914074e-01  -2.680037e-01  
8.081404e-01  2.867069e-01  -2.617424e-01  
8.283414e-01  2.819577e-01  -2.553864e-01  
8.485424e-01  2.772634e-01  -2.489565e-01  
8.687434e-01  2.724788e-01  -2.426063e-01  
8.889444e-01  2.677288e-01  -2.362964e-01  
9.091455e-01  2.628989e-01  -2.299680e-01  
9.293465e-01  2.581886e-01  -2.234839e-01  
9.495475e-01  2.533599e-01  -2.170861e-01  
9.697485e-01  2.485444e-01  -2.107016e-01  
9.899495e-01  2.437775e-01  -2.043105e-01  
1.010151e+00  2.389974e-01  -1.979599e-01  
1.030352e+00  2.342524e-01  -1.917094e-01  
1.050553e+00  2.295626e-01  -1.855203e-01  
1.070754e+00  2.248427e-01  -1.793808e-01  
1.090955e+00  2.201607e-01  -1.733111e-01  
1.111156e+00  2.155322e-01  -1.673030e-01  
1.131357e+00  2.109334e-01  -1.613154e-01  
1.151558e+00  2.065388e-01  -1.551440e-01  
1.171759e+00  2.019884e-01  -1.492977e-01  
1.191960e+00  1.974714e-01  -1.435431e-01  
1.212161e+00  1.929763e-01  -1.378022e-01  
1.232362e+00  1.886072e-01  -1.321824e-01  
1.252563e+00  1.843260e-01  -1.266113e-01  
1.272764e+00  1.801003e-01  -1.211884e-01  
1.292965e+00  1.759124e-01  -1.158525e-01  
1.313166e+00  1.717830e-01  -1.105952e-01  
1.333367e+00  1.677294e-01  -1.054671e-01  
1.353568e+00  1.637375e-01  -1.004437e-01  
1.373769e+00  1.598228e-01  -9.553356e-02  
1.393970e+00  1.559831e-01  -9.073062e-02  
1.414171e+00  1.523668e-01  -8.598528e-02  
1.434372e+00  1.486402e-01  -8.143628e-02  
1.454573e+00  1.449787e-01  -7.697293e-02  
1.474774e+00  1.413761e-01  -7.254442e-02  
1.494975e+00  1.378963e-01  -6.838042e-02  
1.515176e+00  1.345284e-01  -6.428408e-02  
1.535377e+00  1.312454e-01  -6.030820e-02  
1.555578e+00  1.280482e-01  -5.641920e-02  
1.575779e+00  1.249275e-01  -5.268999e-02  
1.595980e+00  1.218438e-01  -4.907421e-02  
1.616181e+00  1.188537e-01  -4.556695e-02  
1.636382e+00  1.159496e-01  -4.220677e-02  
1.656583e+00  1.131299e-01  -3.897065e-02  
1.676784e+00  1.103838e-01  -3.583251e-02  
1.696985e+00  1.078066e-01  -3.277839e-02  
1.717186e+00  1.052526e-01  -2.987945e-02  
1.737387e+00  1.027674e-01  -2.712315e-02  
1.757588e+00  1.003498e-01  -2.447710e-02  
1.777789e+00  9.798702e-02  -2.193025e-02  
1.797990e+00  9.567952e-02  -1.948679e-02  
1.818191e+00  9.342772e-02  -1.717323e-02  
1.838392e+00  9.131438e-02  -1.498190e-02  
1.858593e+00  8.931971e-02  -1.285721e-02  
1.878794e+00  8.735398e-02  -1.087226e-02  
1.898995e+00  8.544804e-02  -8.992027e-03  
1.919196e+00  8.359920e-02  -7.182080e-03  
1.939397e+00  8.181799e-02  -5.495287e-03  
1.959598e+00  8.010460e-02  -3.910247e-03  
1.979799e+00  7.845385e-02  -2.419266e-03  
2.000000e+00  7.686618e-02  -1.009033e-03  
