# kT [GeV]         GTMD (T-even  T-odd) at xi = [3.000000e-01]
1.000000e-04  5.932558e-01  -7.314819e-03  
2.030101e-02  5.931335e-01  -7.313087e-03  
4.050202e-02  5.927032e-01  -7.306923e-03  
6.070303e-02  5.919169e-01  -7.295655e-03  
8.090404e-02  5.909541e-01  -7.281881e-03  
1.011051e-01  5.896000e-01  -7.262495e-03  
1.213061e-01  5.880284e-01  -7.239831e-03  
1.415071e-01  5.862552e-01  -7.214412e-03  
1.617081e-01  5.840786e-01  -7.183382e-03  
1.819091e-01  5.816522e-01  -7.148600e-03  
2.021101e-01  5.788011e-01  -7.110024e-03  
2.223111e-01  5.759893e-01  -7.067537e-03  
2.425121e-01  5.727742e-01  -7.021496e-03  
2.627131e-01  5.692706e-01  -6.971302e-03  
2.829141e-01  5.655732e-01  -6.918434e-03  
3.031152e-01  5.615390e-01  -6.860689e-03  
3.233162e-01  5.571903e-01  -6.798281e-03  
3.435172e-01  5.528161e-01  -6.735893e-03  
3.637182e-01  5.481252e-01  -6.668768e-03  
3.839192e-01  5.434220e-01  -6.598067e-03  
4.041202e-01  5.380192e-01  -6.524214e-03  
4.243212e-01  5.326136e-01  -6.447335e-03  
4.445222e-01  5.270436e-01  -6.367554e-03  
4.647232e-01  5.212726e-01  -6.284946e-03  
4.849242e-01  5.152907e-01  -6.199786e-03  
5.051253e-01  5.091537e-01  -6.112159e-03  
5.253263e-01  5.028295e-01  -6.022463e-03  
5.455273e-01  4.963279e-01  -5.929172e-03  
5.657283e-01  4.896625e-01  -5.834160e-03  
5.859293e-01  4.826938e-01  -5.734500e-03  
6.061303e-01  4.758930e-01  -5.637922e-03  
6.263313e-01  4.688242e-01  -5.537271e-03  
6.465323e-01  4.615780e-01  -5.433989e-03  
6.667333e-01  4.542745e-01  -5.330147e-03  
6.869343e-01  4.468593e-01  -5.224692e-03  
7.071354e-01  4.392816e-01  -5.116998e-03  
7.273364e-01  4.317050e-01  -5.009337e-03  
7.475374e-01  4.240331e-01  -4.899532e-03  
7.677384e-01  4.161769e-01  -4.789007e-03  
7.879394e-01  4.084033e-01  -4.678677e-03  
8.081404e-01  4.005313e-01  -4.567128e-03  
8.283414e-01  3.925823e-01  -4.454408e-03  
8.485424e-01  3.846117e-01  -4.341498e-03  
8.687434e-01  3.766181e-01  -4.228738e-03  
8.889444e-01  3.686338e-01  -4.115771e-03  
9.091455e-01  3.606845e-01  -4.002689e-03  
9.293465e-01  3.527121e-01  -3.890300e-03  
9.495475e-01  3.445549e-01  -3.776057e-03  
9.697485e-01  3.365444e-01  -3.663318e-03  
9.899495e-01  3.285672e-01  -3.550939e-03  
1.010151e+00  3.206253e-01  -3.438090e-03  
1.030352e+00  3.127111e-01  -3.326897e-03  
1.050553e+00  3.048611e-01  -3.218041e-03  
1.070754e+00  2.970214e-01  -3.108228e-03  
1.090955e+00  2.892695e-01  -2.999739e-03  
1.111156e+00  2.816042e-01  -2.893593e-03  
1.131357e+00  2.739958e-01  -2.786339e-03  
1.151558e+00  2.664504e-01  -2.681155e-03  
1.171759e+00  2.590103e-01  -2.577530e-03  
1.191960e+00  2.516475e-01  -2.475212e-03  
1.212161e+00  2.443370e-01  -2.374112e-03  
1.232362e+00  2.371630e-01  -2.274734e-03  
1.252563e+00  2.301752e-01  -2.177043e-03  
1.272764e+00  2.232119e-01  -2.081508e-03  
1.292965e+00  2.163953e-01  -1.987507e-03  
1.313166e+00  2.096569e-01  -1.895052e-03  
1.333367e+00  2.030757e-01  -1.804626e-03  
1.353568e+00  1.966131e-01  -1.716098e-03  
1.373769e+00  1.902818e-01  -1.629484e-03  
1.393970e+00  1.840846e-01  -1.544993e-03  
1.414171e+00  1.780072e-01  -1.462358e-03  
1.434372e+00  1.721085e-01  -1.382342e-03  
1.454573e+00  1.662877e-01  -1.303689e-03  
1.474774e+00  1.605778e-01  -1.227262e-03  
1.494975e+00  1.550816e-01  -1.153373e-03  
1.515176e+00  1.497445e-01  -1.081334e-03  
1.535377e+00  1.445578e-01  -1.012091e-03  
1.555578e+00  1.394944e-01  -9.447026e-04  
1.575779e+00  1.345448e-01  -8.791500e-04  
1.595980e+00  1.297369e-01  -8.157953e-04  
1.616181e+00  1.250975e-01  -7.549386e-04  
1.636382e+00  1.206085e-01  -6.963076e-04  
1.656583e+00  1.162662e-01  -6.398626e-04  
1.676784e+00  1.120504e-01  -5.852844e-04  
1.696985e+00  1.079973e-01  -5.331364e-04  
1.717186e+00  1.041011e-01  -4.833114e-04  
1.737387e+00  1.003382e-01  -4.355646e-04  
1.757588e+00  9.670401e-02  -3.897738e-04  
1.777789e+00  9.318779e-02  -3.457708e-04  
1.797990e+00  8.982838e-02  -3.036361e-04  
1.818191e+00  8.657279e-02  -2.639820e-04  
1.838392e+00  8.347432e-02  -2.261588e-04  
1.858593e+00  8.052805e-02  -1.903141e-04  
1.878794e+00  7.771058e-02  -1.570087e-04  
1.898995e+00  7.499886e-02  -1.249215e-04  
1.919196e+00  7.239108e-02  -9.444932e-05  
1.939397e+00  6.991017e-02  -6.590375e-05  
1.959598e+00  6.755082e-02  -3.918406e-05  
1.979799e+00  6.530387e-02  -1.415942e-05  
2.000000e+00  6.316877e-02  9.195301e-06  
